"iso_alpha_3_code","UNICEF_Sub_Region_Name","UNICEF_Region_Name","UNPD_Region","UNPD_Sub_Region","UNPD_More_Developed","UNPD_Less_Developed","UNPD_Least_Developed","UNPD_Land_Locked_Developing","UNPD_Small_Island_Developing","SDG_Region","SDG_Sub_Region","World_Bank_Region","World_Bank_Income","UNFPA_Region","WHO_Region"
"GNQ","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Upper middle income","West and Central Africa","Africa"
"GRC","Western Europe","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"GRD","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"GTM","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"GUY","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"HKG","East Asia and Pacific","East Asia and Pacific",NA,NA,NA,NA,NA,NA,NA,"Eastern and South-Eastern Asia","Eastern Asia","East Asia & Pacific","High income","non-UNFPA",NA
"HND","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","Lower middle income","Latin American and Caribbean","Americas"
"HRV","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"HTI","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed","Least Developed",NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Lower middle income","Latin American and Caribbean","Americas"
"HUN","Western Europe","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"IDN","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","Lower middle income","Asia and the Pacific","South-East Asia"
"IND","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed",NA,NA,NA,"Central and Southern Asia","Southern Asia","South Asia","Lower middle income","Asia and the Pacific","South-East Asia"
"IRL","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"IRN","Middle East and North Africa","Middle East and North Africa","Asia","Southern Asia",NA,"Less Developed",NA,NA,NA,"Central and Southern Asia","Southern Asia","Middle East & North Africa","Lower middle income","Asia and the Pacific","Eastern Mediterranean"
"IRQ","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","Upper middle income","Arab States","Eastern Mediterranean"
"ISL","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"ISR","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","non-UNFPA","Europe"
"ITA","Western Europe","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"JAM","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"JOR","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","Upper middle income","Arab States","Eastern Mediterranean"
"JPN","East Asia and Pacific","East Asia and Pacific","Asia","Eastern Asia","More Developed",NA,NA,NA,NA,"Eastern and South-Eastern Asia","Eastern Asia","East Asia & Pacific","High income","non-UNFPA","Western Pacific"
"KAZ","Eastern Europe and Central Asia","Europe and Central Asia","Asia","Central Asia",NA,"Less Developed",NA,"Land Locked Developing",NA,"Central and Southern Asia","Central Asia","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"KEN","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Lower middle income","East and Southern Africa","Africa"
"KGZ","Eastern Europe and Central Asia","Europe and Central Asia","Asia","Central Asia",NA,"Less Developed",NA,"Land Locked Developing",NA,"Central and Southern Asia","Central Asia","Europe & Central Asia","Lower middle income","Eastern Europe and Central Asia","Europe"
