"","Country","Year","List","Sex","Frmat","Cause","A00","A1_4","A05","A10","A15","A20","A25","A30","A35","A40","A45","A50","A55","A60","A65","A70","A75","A80","A85ov","tot","unk","name"
"163","4045",2020,104,2,0,"covid19",0,0,0,0,0,0,6,6,14,30,46,74,146,206,452,1086,1532,1816,3788,9202,0,"Czech Republic"
"164","4045",2021,104,1,0,"covid19",2,2,0,2,4,2,28,50,86,174,394,630,1124,2170,3616,5624,5744,4254,4864,28770,0,"Czech Republic"
"165","4045",2021,104,2,0,"covid19",6,2,4,0,0,2,10,20,54,106,236,262,522,926,1882,3182,3818,3812,6466,21310,0,"Czech Republic"
"166","4050",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,1,1,0,10,11,20,41,83,121,143,192,623,0,"Denmark"
"167","4050",2020,104,2,0,"covid19",0,0,0,0,0,0,0,1,0,0,0,7,5,13,25,37,55,78,226,447,0,"Denmark"
"168","4055",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,1,0,1,5,4,10,14,13,21,27,96,0,"Estonia"
"169","4055",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,5,11,32,49,107,0,"Estonia"
"170","4055",2021,104,1,0,"covid19",0,0,0,0,0,0,0,2,4,7,11,14,38,69,101,144,121,172,204,887,0,"Estonia"
"171","4055",2021,104,2,0,"covid19",0,0,0,1,0,0,1,3,2,3,3,9,17,30,48,92,111,179,380,879,0,"Estonia"
"172","4055",2022,104,1,0,"covid19",0,0,1,0,0,1,1,1,1,2,6,8,11,22,34,50,58,94,149,439,0,"Estonia"
"173","4055",2022,104,2,0,"covid19",0,0,0,0,1,0,1,0,2,1,0,4,6,8,28,35,39,91,248,464,0,"Estonia"
"174","4070",2020,10,1,0,"covid19",0,0,0,0,0,1,0,1,5,0,3,6,11,10,16,30,49,61,89,282,0,"Finland"
"175","4070",2020,10,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,12,29,56,168,276,0,"Finland"
"176","4070",2021,10,1,2,"covid19",0,0,0,0,0,1,0,2,4,6,9,7,32,32,55,80,85,75,149,537,0,"Finland"
"177","4070",2021,10,2,2,"covid19",0,0,0,0,0,0,1,1,3,4,1,6,7,16,19,29,49,88,189,413,0,"Finland"
"178","4080",2020,104,1,2,"covid19",2,2,0,0,3,6,24,33,66,93,186,399,710,1322,2177,3485,4165,6309,15860,34842,0,"France"
"179","4080",2020,104,2,2,"covid19",1,0,0,1,4,5,9,17,31,50,113,196,325,600,900,1543,2184,4597,23413,33989,0,"France"
"180","4084",2020,104,1,0,"covid19",0,0,0,0,1,0,2,2,9,18,31,57,110,179,280,250,172,224,123,1458,0,"Georgia"
